description,industry,level,size,line_code,value
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,"Professional, scientific, & technical services",1,total,D0201_01,2343
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Computer systems design,2,total,D0201_01,354
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Other professional scientific,2,total,D0201_01,1989
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Administrative & support services,1,total,D0201_01,1083
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Education & training,1,total,D0201_01,729
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Health care & social assistance,1,total,D0201_01,2016
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Arts & recreation services,1,total,D0201_01,336
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,Other services,1,total,D0201_01,708
Business plans for identifying and assessing the business's main risks and hazards - been doing practice for at least two years,total,0,total,D0201_01,27042
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,total,0,6–19 employees,D0201_02,6744
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,total,0,20–49 employees,D0201_02,1647
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,total,0,50–99 employees,D0201_02,360
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,total,0,100+ employees,D0201_02,180
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,"Agriculture, forestry, & fishing",1,total,D0201_02,765
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Agriculture,2,total,D0201_02,594
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Commercial fishing,2,total,D0201_02,9
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Forestry & logging,2,total,D0201_02,9
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,"Agriculture, forestry, & fishing support services",2,total,D0201_02,153
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Mining,1,total,D0201_02,12
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Manufacturing,1,total,D0201_02,834
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,"Food, beverage, & tobacco",2,total,D0201_02,192
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,"Textile, clothing, footwear, & leather",2,total,D0201_02,66
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Wood & paper product,2,total,D0201_02,63
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,"Printing, publishing, & recorded media",2,total,D0201_02,57
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,"Petroleum, coal, chemical, & associated product",2,total,D0201_02,81
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Non-metallic mineral product,2,total,D0201_02,33
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Metal product,2,total,D0201_02,120
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Transport and industrial machinery & equipment,2,total,D0201_02,114
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Other machinery & equipment,2,total,D0201_02,27
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Other manufacturing,2,total,D0201_02,81
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,"Electricity, gas, water, & waste services",1,total,D0201_02,30
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Construction,1,total,D0201_02,837
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Wholesale trade,1,total,D0201_02,741
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Machinery & equipment wholesaling,2,total,D0201_02,198
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Other wholesale trade,2,total,D0201_02,543
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Retail trade,1,total,D0201_02,1023
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Accommodation & food services,1,total,D0201_02,1464
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,"Transport, postal, & warehousing",1,total,D0201_02,369
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Information media & telecommunications,1,total,D0201_02,96
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Publishing,2,total,D0201_02,48
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Motion picture,2,total,D0201_02,30
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Telecommunications,2,total,D0201_02,18
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Financial & insurance services,1,total,D0201_02,153
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Finance,2,total,D0201_02,57
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Insurance,2,total,D0201_02,6
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Auxiliary,2,total,D0201_02,93
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,"Rental, hiring, & real estate services",1,total,D0201_02,276
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,"Professional, scientific, & technical services",1,total,D0201_02,978
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Computer systems design,2,total,D0201_02,219
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Other professional scientific,2,total,D0201_02,762
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Administrative & support services,1,total,D0201_02,354
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Education & training,1,total,D0201_02,111
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Health care & social assistance,1,total,D0201_02,420
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Arts & recreation services,1,total,D0201_02,105
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,Other services,1,total,D0201_02,354
Business plans for identifying and assessing the business's main risks and hazards - introduced in the last two years,total,0,total,D0201_02,8931
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,total,0,6–19 employees,D0201_03,2274
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,total,0,20–49 employees,D0201_03,447
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,total,0,50–99 employees,D0201_03,69
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,total,0,100+ employees,D0201_03,39
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,"Agriculture, forestry, & fishing",1,total,D0201_03,252
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Agriculture,2,total,D0201_03,198
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Commercial fishing,2,total,D0201_03,9
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Forestry & logging,2,total,D0201_03,0
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,"Agriculture, forestry, & fishing support services",2,total,D0201_03,45
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Mining,1,total,D0201_03,3
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Manufacturing,1,total,D0201_03,375
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,"Food, beverage, & tobacco",2,total,D0201_03,105
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,"Textile, clothing, footwear, & leather",2,total,D0201_03,30
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Wood & paper product,2,total,D0201_03,6
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,"Printing, publishing, & recorded media",2,total,D0201_03,30
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,"Petroleum, coal, chemical, & associated product",2,total,D0201_03,27
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Non-metallic mineral product,2,total,D0201_03,6
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Metal product,2,total,D0201_03,69
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Transport and industrial machinery & equipment,2,total,D0201_03,66
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Other machinery & equipment,2,total,D0201_03,18
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Other manufacturing,2,total,D0201_03,18
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,"Electricity, gas, water, & waste services",1,total,D0201_03,3
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Construction,1,total,D0201_03,126
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Wholesale trade,1,total,D0201_03,222
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Machinery & equipment wholesaling,2,total,D0201_03,60
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Other wholesale trade,2,total,D0201_03,162
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Retail trade,1,total,D0201_03,393
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Accommodation & food services,1,total,D0201_03,783
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,"Transport, postal, & warehousing",1,total,D0201_03,99
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Information media & telecommunications,1,total,D0201_03,33
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Publishing,2,total,D0201_03,12
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Motion picture,2,total,D0201_03,12
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Telecommunications,2,total,D0201_03,6
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Financial & insurance services,1,total,D0201_03,33
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Finance,2,total,D0201_03,9
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Insurance,2,total,D0201_03,0
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Auxiliary,2,total,D0201_03,24
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,"Rental, hiring, & real estate services",1,total,D0201_03,9
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,"Professional, scientific, & technical services",1,total,D0201_03,243
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Computer systems design,2,total,D0201_03,72
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Other professional scientific,2,total,D0201_03,171
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Administrative & support services,1,total,D0201_03,78
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Education & training,1,total,D0201_03,57
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Health care & social assistance,1,total,D0201_03,33
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Arts & recreation services,1,total,D0201_03,9
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,Other services,1,total,D0201_03,75
Business plans for identifying and assessing the business's main risks and hazards - currently being introduced,total,0,total,D0201_03,2829
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,total,0,6–19 employees,D0201_04,765
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,total,0,20–49 employees,D0201_04,120
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,total,0,50–99 employees,D0201_04,12
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,total,0,100+ employees,D0201_04,6
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,"Agriculture, forestry, & fishing",1,total,D0201_04,15
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Agriculture,2,total,D0201_04,9
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Commercial fishing,2,total,D0201_04,0
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Forestry & logging,2,total,D0201_04,0
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,"Agriculture, forestry, & fishing support services",2,total,D0201_04,9
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Mining,1,total,D0201_04,0
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Manufacturing,1,total,D0201_04,111
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,"Food, beverage, & tobacco",2,total,D0201_04,27
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,"Textile, clothing, footwear, & leather",2,total,D0201_04,6
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Wood & paper product,2,total,D0201_04,18
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,"Printing, publishing, & recorded media",2,total,D0201_04,12
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,"Petroleum, coal, chemical, & associated product",2,total,D0201_04,9
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Non-metallic mineral product,2,total,D0201_04,6
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Metal product,2,total,D0201_04,33
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Transport and industrial machinery & equipment,2,total,D0201_04,0
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Other machinery & equipment,2,total,D0201_04,0
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Other manufacturing,2,total,D0201_04,0
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,"Electricity, gas, water, & waste services",1,total,D0201_04,0
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Construction,1,total,D0201_04,0
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Wholesale trade,1,total,D0201_04,72
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Machinery & equipment wholesaling,2,total,D0201_04,0
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Other wholesale trade,2,total,D0201_04,69
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Retail trade,1,total,D0201_04,150
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Accommodation & food services,1,total,D0201_04,144
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,"Transport, postal, & warehousing",1,total,D0201_04,21
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Information media & telecommunications,1,total,D0201_04,18
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Publishing,2,total,D0201_04,3
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Motion picture,2,total,D0201_04,6
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Telecommunications,2,total,D0201_04,6
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Financial & insurance services,1,total,D0201_04,9
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Finance,2,total,D0201_04,3
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Insurance,2,total,D0201_04,3
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Auxiliary,2,total,D0201_04,6
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,"Rental, hiring, & real estate services",1,total,D0201_04,0
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,"Professional, scientific, & technical services",1,total,D0201_04,309
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Computer systems design,2,total,D0201_04,45
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Other professional scientific,2,total,D0201_04,267
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Administrative & support services,1,total,D0201_04,24
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Education & training,1,total,D0201_04,6
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Health care & social assistance,1,total,D0201_04,15
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Arts & recreation services,1,total,D0201_04,0
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,Other services,1,total,D0201_04,3
Business plans for identifying and assessing the business's main risks and hazards - plan to introduce in the next two years,total,0,total,D0201_04,900
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,total,0,6–19 employees,D0201_05,927
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,total,0,20–49 employees,D0201_05,99
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,total,0,50–99 employees,D0201_05,9
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,total,0,100+ employees,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,"Agriculture, forestry, & fishing",1,total,D0201_05,6
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Agriculture,2,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Commercial fishing,2,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Forestry & logging,2,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,"Agriculture, forestry, & fishing support services",2,total,D0201_05,9
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Mining,1,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Manufacturing,1,total,D0201_05,33
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,"Food, beverage, & tobacco",2,total,D0201_05,12
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,"Textile, clothing, footwear, & leather",2,total,D0201_05,9
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Wood & paper product,2,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,"Printing, publishing, & recorded media",2,total,D0201_05,3
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,"Petroleum, coal, chemical, & associated product",2,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Non-metallic mineral product,2,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Metal product,2,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Transport and industrial machinery & equipment,2,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Other machinery & equipment,2,total,D0201_05,3
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Other manufacturing,2,total,D0201_05,3
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,"Electricity, gas, water, & waste services",1,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Construction,1,total,D0201_05,39
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Wholesale trade,1,total,D0201_05,78
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Machinery & equipment wholesaling,2,total,D0201_05,30
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Other wholesale trade,2,total,D0201_05,48
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Retail trade,1,total,D0201_05,282
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Accommodation & food services,1,total,D0201_05,195
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,"Transport, postal, & warehousing",1,total,D0201_05,24
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Information media & telecommunications,1,total,D0201_05,12
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Publishing,2,total,D0201_05,6
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Motion picture,2,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Telecommunications,2,total,D0201_05,3
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Financial & insurance services,1,total,D0201_05,15
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Finance,2,total,D0201_05,3
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Insurance,2,total,D0201_05,3
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Auxiliary,2,total,D0201_05,12
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,"Rental, hiring, & real estate services",1,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,"Professional, scientific, & technical services",1,total,D0201_05,273
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Computer systems design,2,total,D0201_05,54
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Other professional scientific,2,total,D0201_05,222
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Administrative & support services,1,total,D0201_05,33
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Education & training,1,total,D0201_05,9
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Health care & social assistance,1,total,D0201_05,9
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Arts & recreation services,1,total,D0201_05,12
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,Other services,1,total,D0201_05,0
Business plans for identifying and assessing the business's main risks and hazards - no plan to introduce,total,0,total,D0201_05,1035
Business plans for identifying and assessing the business's main risks and hazards - don't know,total,0,6–19 employees,D0201_06,912
Business plans for identifying and assessing the business's main risks and hazards - don't know,total,0,20–49 employees,D0201_06,204
Business plans for identifying and assessing the business's main risks and hazards - don't know,total,0,50–99 employees,D0201_06,27
Business plans for identifying and assessing the business's main risks and hazards - don't know,total,0,100+ employees,D0201_06,18
Business plans for identifying and assessing the business's main risks and hazards - don't know,"Agriculture, forestry, & fishing",1,total,D0201_06,57
Business plans for identifying and assessing the business's main risks and hazards - don't know,Agriculture,2,total,D0201_06,42
Business plans for identifying and assessing the business's main risks and hazards - don't know,Commercial fishing,2,total,D0201_06,0
Business plans for identifying and assessing the business's main risks and hazards - don't know,Forestry & logging,2,total,D0201_06,3
Business plans for identifying and assessing the business's main risks and hazards - don't know,"Agriculture, forestry, & fishing support services",2,total,D0201_06,12
Business plans for identifying and assessing the business's main risks and hazards - don't know,Mining,1,total,D0201_06,3
Business plans for identifying and assessing the business's main risks and hazards - don't know,Manufacturing,1,total,D0201_06,51
Business plans for identifying and assessing the business's main risks and hazards - don't know,"Food, beverage, & tobacco",2,total,D0201_06,12
Business plans for identifying and assessing the business's main risks and hazards - don't know,"Textile, clothing, footwear, & leather",2,total,D0201_06,6
Business plans for identifying and assessing the business's main risks and hazards - don't know,Wood & paper product,2,total,D0201_06,0
Business plans for identifying and assessing the business's main risks and hazards - don't know,"Printing, publishing, & recorded media",2,total,D0201_06,6
Business plans for identifying and assessing the business's main risks and hazards - don't know,"Petroleum, coal, chemical, & associated product",2,total,D0201_06,9
Business plans for identifying and assessing the business's main risks and hazards - don't know,Non-metallic mineral product,2,total,D0201_06,3
Business plans for identifying and assessing the business's main risks and hazards - don't know,Metal product,2,total,D0201_06,6
Business plans for identifying and assessing the business's main risks and hazards - don't know,Transport and industrial machinery & equipment,2,total,D0201_06,3
Business plans for identifying and assessing the business's main risks and hazards - don't know,Other machinery & equipment,2,total,D0201_06,3
Business plans for identifying and assessing the business's main risks and hazards - don't know,Other manufacturing,2,total,D0201_06,3
Business plans for identifying and assessing the business's main risks and hazards - don't know,"Electricity, gas, water, & waste services",1,total,D0201_06,3
Business plans for identifying and assessing the business's main risks and hazards - don't know,Construction,1,total,D0201_06,18
Business plans for identifying and assessing the business's main risks and hazards - don't know,Wholesale trade,1,total,D0201_06,72
Business plans for identifying and assessing the business's main risks and hazards - don't know,Machinery & equipment wholesaling,2,total,D0201_06,30
Business plans for identifying and assessing the business's main risks and hazards - don't know,Other wholesale trade,2,total,D0201_06,39
Business plans for identifying and assessing the business's main risks and hazards - don't know,Retail trade,1,total,D0201_06,210
